Category: All categories

Month,CS106A: (United States),CS106AX: (United States),CS106B: (United States),CS106E: (United States),CS106L: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,86,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,75,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,66,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,44,0,0
2007-02,0,0,0,0,0
2007-03,42,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,38,0,0
2007-06,0,0,42,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,34,0,0,0,0
2008-01,30,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,30,0,30,0,0
2008-05,0,0,0,0,0
2008-06,32,0,32,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,28,0,0,0,0
2008-10,0,0,0,0,0
2008-11,56,0,0,0,0
2008-12,0,0,0,0,0
2009-01,52,0,52,0,0
2009-02,28,0,28,0,0
2009-03,25,0,0,0,0
2009-04,100,0,50,0,0
2009-05,0,0,25,0,25
2009-06,0,0,0,0,0
2009-07,25,0,25,0,0
2009-08,25,0,0,0,0
2009-09,24,0,24,0,0
2009-10,0,0,22,0,0
2009-11,23,0,0,0,0
2009-12,0,0,23,0,0
2010-01,0,0,43,0,0
2010-02,0,0,22,0,0
2010-03,20,0,20,0,0
2010-04,21,0,21,0,0
2010-05,65,0,22,0,0
2010-06,22,0,0,0,0
2010-07,19,0,0,0,0
2010-08,36,0,18,0,0
2010-09,36,0,0,0,0
2010-10,17,0,0,0,0
2010-11,51,0,17,0,0
2010-12,17,0,51,0,0
2011-01,0,0,0,0,0
2011-02,14,0,42,0,0
2011-03,13,0,26,0,0
2011-04,13,0,27,0,0
2011-05,26,0,26,0,13
2011-06,41,0,14,0,0
2011-07,40,0,0,0,0
2011-08,49,0,0,0,0
2011-09,49,0,0,0,0
2011-10,12,0,12,0,0
2011-11,59,0,12,0,12
2011-12,35,0,23,0,0
2012-01,53,0,0,0,0
2012-02,32,0,22,0,0
2012-03,31,0,10,0,0
2012-04,33,0,33,0,0
2012-05,21,0,10,0,0
2012-06,32,0,11,0,0
2012-07,41,0,21,0,0
2012-08,51,0,0,0,0
2012-09,40,0,40,0,0
2012-10,28,0,18,0,0
2012-11,48,0,0,0,0
2012-12,56,0,9,0,0
2013-01,52,0,43,0,0
2013-02,66,0,19,0,0
2013-03,43,0,9,0,0
2013-04,35,0,44,0,9
2013-05,52,0,60,0,9
2013-06,27,0,18,0,0
2013-07,35,0,26,0,0
2013-08,43,0,9,0,0
2013-09,51,0,0,0,0
2013-10,16,0,16,0,16
2013-11,9,0,0,0,0
2013-12,25,0,0,0,0
2014-01,48,0,40,0,0
2014-02,79,0,9,0,0
2014-03,48,0,16,0,0
2014-04,33,0,58,0,8
2014-05,60,0,34,0,0
2014-06,39,0,10,0,0
2014-07,29,0,0,0,0
2014-08,9,0,9,0,0
2014-09,27,0,18,0,0
2014-10,26,0,35,0,0
2014-11,45,0,18,0,0
2014-12,0,0,0,0,0
2015-01,35,0,0,0,0
2015-02,28,0,37,0,0
2015-03,18,0,26,0,0
2015-04,71,0,27,0,9
2015-05,37,0,18,0,0
2015-06,29,0,0,0,10
2015-07,19,0,0,0,0
2015-08,27,0,18,0,0
2015-09,27,0,27,0,9
2015-10,17,0,8,0,8
2015-11,35,0,0,0,0
2015-12,0,0,0,0,0
2016-01,28,0,42,0,0
2016-02,43,0,21,0,0
2016-03,47,0,14,0,0
2016-04,21,0,42,0,0
2016-05,28,0,14,0,0
2016-06,14,0,29,0,7
2016-07,7,0,15,0,0
2016-08,0,0,0,0,0
2016-09,0,0,7,0,0
2016-10,14,0,21,0,0
2016-11,41,0,7,0,0
2016-12,0,0,13,0,0
2017-01,38,0,19,0,0
2017-02,48,0,41,0,0
2017-03,36,0,18,0,0
2017-04,7,0,13,0,7
2017-05,0,0,20,0,0
2017-06,14,0,7,0,0
2017-07,21,0,35,0,0
2017-08,6,0,6,0,0
2017-09,6,0,13,0,0
2017-10,50,0,19,0,0
2017-11,39,0,26,0,0
2017-12,7,0,26,0,0
2018-01,24,0,24,0,0
2018-02,27,0,27,0,0
2018-03,31,0,37,0,0
2018-04,6,0,13,0,0
2018-05,6,0,19,0,0
2018-06,7,0,7,0,0
2018-07,26,0,6,0,0
2018-08,26,0,6,0,0
2018-09,0,0,6,0,6
2018-10,25,0,19,0,0
2018-11,26,0,6,0,0
2018-12,13,0,6,0,0
2019-01,12,0,6,0,6
2019-02,13,0,7,0,0
2019-03,0,0,0,0,0
2019-04,0,0,6,0,0
2019-05,0,0,13,0,0
2019-06,7,0,7,0,0
2019-07,19,0,19,0,0
2019-08,19,0,0,0,0
2019-09,18,0,12,0,0
2019-10,29,0,51,0,0
2019-11,12,0,6,0,0
2019-12,0,0,12,0,0
2020-01,27,0,16,0,0
2020-02,6,0,12,0,0
2020-03,0,0,10,0,0
2020-04,50,0,5,0,5
2020-05,20,0,5,0,0
2020-06,10,0,5,0,0
2020-07,11,0,0,0,0
2020-08,5,0,5,0,0
2020-09,11,0,5,0,0
2020-10,18,0,18,0,6
2020-11,6,0,6,0,0
2020-12,0,0,18,0,0
2021-01,6,0,0,0,0
2021-02,7,0,13,0,0
2021-03,0,0,6,0,0
2021-04,12,0,18,0,0
2021-05,0,0,6,0,0
2021-06,0,0,0,0,6
2021-07,6,0,0,0,0
2021-08,6,0,0,0,0
2021-09,6,0,0,0,0
2021-10,14,0,0,0,0
2021-11,18,0,9,0,0
2021-12,5,0,5,0,0
2022-01,13,0,7,0,0
