Category: All categories

Month,CS154: (United States),CS155: (United States),CS157: (United States),CS161: (United States),CS161A: (United States)
2004-01,0,0,0,100,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,73,0
2005-01,65,0,0,65,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,66,0,0,0,0
2005-05,58,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,48,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,44,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,38,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,29,0
2007-02,0,0,0,0,0
2007-03,0,0,0,28,0
2007-04,28,28,0,28,0
2007-05,0,25,0,0,0
2007-06,28,0,0,28,0
2007-07,26,0,0,26,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,22,0
2007-11,0,0,0,22,0
2007-12,0,0,0,0,0
2008-01,0,0,0,60,0
2008-02,21,0,0,42,0
2008-03,0,0,0,0,0
2008-04,20,0,0,20,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,20,0,0,0,0
2008-08,0,0,20,0,0
2008-09,0,0,19,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,17,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,15,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,15,0
2010-01,0,0,0,0,0
2010-02,0,0,0,15,0
2010-03,13,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,14,0,0,0
2010-06,0,0,15,0,0
2010-07,0,0,0,0,0
2010-08,12,0,0,0,0
2010-09,0,0,0,12,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,11,0
2011-01,0,0,0,9,0
2011-02,9,0,0,19,0
2011-03,0,0,0,0,0
2011-04,0,9,0,27,0
2011-05,0,9,0,9,0
2011-06,0,0,0,0,0
2011-07,9,0,0,9,0
2011-08,0,0,0,0,0
2011-09,0,8,0,16,0
2011-10,0,0,0,16,0
2011-11,0,0,0,8,0
2011-12,0,0,0,8,0
2012-01,0,0,0,21,0
2012-02,0,7,7,0,0
2012-03,0,0,0,14,0
2012-04,0,0,0,22,0
2012-05,14,0,0,7,0
2012-06,0,0,0,14,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,7,0
2012-10,0,6,0,0,0
2012-11,0,0,0,19,0
2012-12,0,0,0,6,0
2013-01,0,0,12,17,0
2013-02,6,0,0,12,0
2013-03,6,6,6,28,0
2013-04,6,6,0,41,0
2013-05,6,11,0,11,0
2013-06,0,6,0,0,0
2013-07,0,0,0,6,0
2013-08,0,0,0,6,0
2013-09,0,6,6,17,0
2013-10,0,5,5,11,0
2013-11,0,0,0,0,0
2013-12,0,0,0,17,0
2014-01,5,0,0,16,0
2014-02,6,12,0,46,0
2014-03,0,0,0,26,0
2014-04,6,17,0,50,0
2014-05,6,0,0,34,0
2014-06,0,0,0,0,0
2014-07,0,0,0,19,0
2014-08,0,0,0,0,0
2014-09,0,0,6,18,0
2014-10,0,0,0,29,0
2014-11,0,0,6,12,0
2014-12,0,0,6,30,0
