Category: All categories

Month,CS233: (United States),CS234: (United States),CS235: (United States),CS236: (United States),CS236G: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,72,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,62,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,61,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,54,0,0
2009-11,0,0,0,0,0
2009-12,0,0,54,0,0
2010-01,0,0,51,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,52,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,31,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,33,0
2011-07,0,0,0,0,0
2011-08,0,0,0,30,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,25,0
2012-02,0,0,0,0,0
2012-03,0,0,0,25,0
2012-04,26,26,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,44,0,0
2012-11,0,0,23,46,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,21,21,0,0
2013-04,0,0,0,21,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,21,0,0,0,0
2013-10,0,0,20,0,0
2013-11,0,0,21,0,0
2013-12,0,0,20,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,20,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,66,0,22,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,42,0,21,0,0
2015-02,89,0,0,0,0
2015-03,21,0,0,0,0
2015-04,64,0,0,0,0
2015-05,22,0,0,0,0
2015-06,0,0,23,0,0
2015-07,23,0,0,0,0
2015-08,44,0,0,0,0
2015-09,21,0,0,21,0
2015-10,20,0,0,0,0
2015-11,21,0,21,0,0
2015-12,21,21,0,0,0
2016-01,0,0,0,0,0
2016-02,86,0,0,0,0
2016-03,0,0,0,0,0
2016-04,17,0,17,0,0
2016-05,0,0,17,0,0
2016-06,0,0,0,0,0
2016-07,0,0,36,0,0
2016-08,36,0,0,0,0
2016-09,17,0,0,0,0
2016-10,100,0,0,0,0
2016-11,33,0,0,17,0
2016-12,32,0,0,0,0
2017-01,15,0,15,0,0
2017-02,50,0,0,0,0
2017-03,15,14,0,0,0
2017-04,47,0,31,16,0
2017-05,0,0,0,16,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,16,0,0,0,0
2017-09,47,0,0,0,0
2017-10,75,0,15,0,0
2017-11,63,0,16,16,0
2017-12,48,47,0,0,0
2018-01,29,29,0,0,0
2018-02,32,0,0,0,0
2018-03,15,29,0,0,0
2018-04,30,0,15,0,0
2018-05,0,0,15,0,0
2018-06,16,0,0,0,0
2018-07,0,0,0,0,0
2018-08,0,0,0,0,0
2018-09,94,0,0,0,0
2018-10,76,0,15,30,0
2018-11,31,0,0,0,0
2018-12,63,16,16,31,0
2019-01,15,0,0,0,0
2019-02,64,48,0,0,0
2019-03,30,44,0,15,0
2019-04,77,15,0,15,0
2019-05,0,0,0,0,0
2019-06,0,32,16,16,0
2019-07,0,15,0,0,0
2019-08,30,0,0,15,0
2019-09,56,0,0,0,0
2019-10,69,0,0,0,0
2019-11,43,0,14,29,0
2019-12,0,14,0,14,0
2020-01,13,26,13,13,0
2020-02,14,14,0,0,0
2020-03,37,0,0,0,0
2020-04,12,0,0,0,0
2020-05,0,12,0,0,0
2020-06,13,13,13,0,0
2020-07,0,0,0,0,0
2020-08,0,13,0,0,0
2020-09,38,0,0,13,0
2020-10,0,0,0,0,0
2020-11,0,0,14,14,0
2020-12,0,0,0,14,0
2021-01,14,0,0,0,0
2021-02,16,0,0,0,0
2021-03,14,0,0,0,0
2021-04,15,0,0,15,0
2021-05,0,0,0,0,0
2021-06,0,0,0,0,0
2021-07,0,0,0,0,0
2021-08,0,0,0,0,0
2021-09,0,0,0,16,0
2021-10,11,11,0,0,0
2021-11,0,11,0,0,0
2021-12,0,0,0,0,0
2022-01,16,16,16,0,0
