Category: All categories

Month,CS44N: (United States),CS46N: (United States),CS47: (United States),CS49N: (United States),CS50: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,34
2004-03,0,0,0,0,0
2004-04,0,0,0,0,33
2004-05,0,0,0,0,30
2004-06,0,0,0,0,0
2004-07,0,0,0,0,16
2004-08,0,0,0,0,42
2004-09,0,0,0,0,53
2004-10,0,0,0,0,28
2004-11,0,0,0,0,43
2004-12,0,0,0,0,51
2005-01,0,0,0,0,91
2005-02,0,0,0,0,83
2005-03,0,0,0,0,50
2005-04,0,0,0,0,46
2005-05,0,0,0,0,92
2005-06,0,0,0,0,64
2005-07,0,0,0,0,73
2005-08,0,0,0,0,78
2005-09,0,0,0,0,73
2005-10,0,0,0,0,43
2005-11,0,0,0,0,44
2005-12,0,0,0,0,100
2006-01,0,0,0,0,45
2006-02,0,0,0,0,70
2006-03,0,0,0,0,60
2006-04,0,0,0,0,50
2006-05,0,0,0,0,54
2006-06,0,0,0,0,64
2006-07,0,0,0,0,42
2006-08,0,0,0,0,58
2006-09,0,0,0,0,45
2006-10,0,0,0,0,75
2006-11,0,0,0,0,46
2006-12,0,0,0,0,52
2007-01,0,0,0,0,72
2007-02,0,0,0,0,43
2007-03,0,0,0,0,24
2007-04,0,0,0,0,45
2007-05,0,0,0,0,31
2007-06,0,0,0,0,24
2007-07,0,0,0,0,45
2007-08,0,0,0,0,43
2007-09,0,0,0,0,25
2007-10,0,0,0,0,43
2007-11,0,0,0,0,39
2007-12,0,0,0,0,48
2008-01,0,0,0,0,35
2008-02,0,0,0,0,22
2008-03,0,0,0,0,32
2008-04,0,0,0,0,38
2008-05,0,0,0,0,35
2008-06,0,0,0,0,30
2008-07,0,0,0,0,42
2008-08,0,0,0,0,52
2008-09,0,0,0,0,33
2008-10,0,0,0,0,18
2008-11,0,0,0,0,36
2008-12,0,0,0,0,19
2009-01,0,0,0,0,33
2009-02,0,0,0,0,42
2009-03,0,0,0,0,43
2009-04,0,0,0,0,20
2009-05,0,0,0,0,44
2009-06,0,0,0,0,33
2009-07,0,0,0,0,35
2009-08,0,0,0,0,20
2009-09,0,0,0,0,25
2009-10,0,0,0,0,34
2009-11,0,0,0,0,38
2009-12,0,0,0,0,24
2010-01,0,0,0,0,27
2010-02,0,0,0,0,18
2010-03,0,0,0,0,31
2010-04,0,0,0,0,49
2010-05,0,0,0,0,33
2010-06,0,0,0,0,18
2010-07,0,0,0,0,27
2010-08,0,0,0,0,28
2010-09,0,0,0,0,19
2010-10,0,0,0,0,22
2010-11,0,0,0,0,32
2010-12,0,0,0,0,26
2011-01,0,0,0,0,27
2011-02,0,0,0,0,21
2011-03,0,0,0,0,21
2011-04,0,0,0,0,24
2011-05,0,0,0,0,11
2011-06,0,0,0,0,22
2011-07,0,0,0,0,34
2011-08,0,0,0,0,11
2011-09,0,0,0,0,30
2011-10,0,0,0,0,23
2011-11,0,0,0,0,22
2011-12,0,0,0,0,13
2012-01,0,0,0,0,21
2012-02,0,0,0,0,10
2012-03,0,0,0,0,26
2012-04,0,0,1,0,20
2012-05,0,0,0,0,31
2012-06,0,0,0,0,23
2012-07,0,0,0,0,19
2012-08,0,0,0,0,27
2012-09,0,0,0,0,40
2012-10,0,0,0,0,27
2012-11,0,0,0,0,31
2012-12,0,0,0,0,17
2013-01,0,0,0,0,37
2013-02,0,0,0,0,27
2013-03,0,0,1,0,34
2013-04,0,0,0,0,25
2013-05,0,0,0,0,27
2013-06,0,0,0,0,16
2013-07,0,0,0,0,28
2013-08,0,0,0,0,28
2013-09,0,0,0,0,43
2013-10,0,0,0,0,27
2013-11,0,0,0,0,27
2013-12,0,0,0,0,19
2014-01,0,0,0,0,47
2014-02,0,0,0,0,31
2014-03,0,0,1,0,31
2014-04,0,0,0,0,32
2014-05,0,0,0,0,26
2014-06,0,0,0,0,34
2014-07,0,0,0,0,29
2014-08,0,0,0,0,24
2014-09,0,0,0,0,50
2014-10,0,0,0,0,27
2014-11,0,0,0,0,42
2014-12,0,0,0,0,21
2015-01,0,0,0,0,36
2015-02,0,0,2,0,27
2015-03,0,0,0,0,32
2015-04,0,0,0,0,23
2015-05,0,0,0,0,29
2015-06,0,0,0,0,27
2015-07,0,0,0,0,36
2015-08,0,0,0,0,42
2015-09,0,0,0,0,54
2015-10,0,0,0,0,30
2015-11,0,0,0,0,26
2015-12,0,0,0,0,23
2016-01,0,0,0,0,24
2016-02,0,0,0,0,24
2016-03,0,0,0,0,22
2016-04,0,0,0,0,32
2016-05,0,0,0,0,23
2016-06,0,0,0,0,30
2016-07,0,0,0,0,20
2016-08,0,0,0,0,25
2016-09,0,0,0,0,29
2016-10,0,0,0,0,18
2016-11,0,0,1,0,30
2016-12,0,0,0,0,28
2017-01,0,0,0,0,33
2017-02,0,0,0,0,31
2017-03,0,0,0,0,29
2017-04,0,0,1,0,26
2017-05,0,0,0,0,26
2017-06,0,0,1,0,23
2017-07,0,0,0,0,24
2017-08,0,0,0,0,25
2017-09,0,0,0,0,27
2017-10,0,0,1,0,32
2017-11,0,0,0,0,22
2017-12,0,0,0,0,18
2018-01,0,0,0,0,20
2018-02,0,0,0,0,14
2018-03,0,0,0,0,22
2018-04,0,0,0,0,15
2018-05,0,0,1,0,17
2018-06,0,0,0,0,16
2018-07,0,0,0,0,11
2018-08,0,0,0,0,16
2018-09,0,0,0,0,36
2018-10,0,0,0,0,32
2018-11,0,0,0,0,27
2018-12,0,0,0,0,15
2019-01,0,0,0,0,17
